Name,Year,Duration,Rating,Score,Description
The Silence of the Lambs,1991,1h 58m,16,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Shichinin no samurai,1954,3h 27m,12,8.6,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
Saving Private Ryan,1998,2h 49m,16,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action."
The Green Mile,1999,3h 9m,16,8.6,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
Cidade de Deus,2002,2h 10m,16,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Het leven is mooi,1997,1h 56m,AL,8.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
Terminator 2: Judgment Day,1991,2h 17m,16,8.6,"A cyborg from the future, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from an even more advanced and powerful cyborg."
Star Wars: Episode IV: A New Hope,1977,2h 1m,AL,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Back to the Future,1985,1h 56m,6,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Spirited Away: De reis van Chihiro,2001,2h 4m,6,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
The Pianist,2002,2h 30m,16,8.5,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
Gladiator,2000,2h 35m,16,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Gisaengchung,2019,2h 12m,16,8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Psycho,1960,1h 49m,12,8.5,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
Grave of the Fireflies,1988,1h 28m,6,8.5,A young boy and his little sister struggle to survive in Japan during World War II.
The Lion King,1994,1h 28m,6,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Seppuku,1962,2h 13m,16,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
The Departed,2006,2h 31m,16,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Whiplash,2014,1h 46m,12,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
The Prestige,2006,2h 10m,12,8.5,Rival 19th-century magicians engage in a bitter battle for trade secrets.
American History X,1998,1h 59m,16,8.5,A white supremacist is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.
Léon,1994,1h 50m,16,8.5,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge."
Spider-Man: Across the Spider-Verse,2023,2h 20m,9,8.5,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
Cinema Paradiso,1988,2h 54m,9,8.5,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
Casablanca,1942,1h 42m,6,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Intouchables,2011,1h 52m,12,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
The Usual Suspects,1995,1h 46m,16,8.5,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
Alien,1979,1h 57m,16,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Modern Times,1936,1h 27m,AL,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Rear Window,1954,1h 52m,6,8.5,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
Django Unchained,2012,2h 45m,16,8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Once Upon a Time in the West,1968,2h 46m,12,8.5,A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.
City Lights,1931,1h 27m,6,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Apocalypse Now,1979,2h 27m,16,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
WALL-E,2008,1h 38m,AL,8.4,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
Memento,2000,1h 53m,16,8.4,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.
Dune: Part Two,2024,2h 46m,12,8.4,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
Indiana Jones and the Raiders of the Lost Ark,1981,1h 55m,12,8.4,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first."
Avengers: Infinity War,2018,2h 29m,12,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Das Leben der Anderen,2006,2h 17m,12,8.4,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
Spider-Man: Een nieuw universum,2018,1h 57m,6,8.4,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Sunset Boulevard,1950,1h 50m,AL,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Witness for the Prosecution,1957,1h 56m,AL,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Het veld van eer,1957,1h 28m,12,8.4,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
The Shining,1980,2h 26m,16,8.4,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
De dictator,1940,2h 5m,12,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Inglourious Basterds,2009,2h 33m,16,8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
12th Fail,2023,2h 27m,6,8.7,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
Aliens,1986,2h 17m,16,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
High and Low,1963,2h 23m,12,8.4,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
The Dark Knight Rises,2012,2h 44m,12,8.4,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
Coco,2017,1h 45m,6,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Avengers: Endgame,2019,3h 1m,12,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Good Will Hunting,1997,2h 6m,12,8.3,"A therapist counsels Will Hunting, a janitor with a genius IQ."
Amadeus,1984,2h 40m,12,8.4,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri."
Toy Story,1995,1h 21m,AL,8.3,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him."
Your Name,2016,1h 46m,AL,8.4,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
Das Boot,1981,2h 29m,12,8.4,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Old Boy,2003,2h 0m,16,8.3,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,AL,8.3,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Braveheart,1995,2h 58m,16,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Princess Mononoke,1997,2h 13m,12,8.3,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home."
American Beauty,1999,2h 2m,16,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
3 Idiots,2009,2h 50m,12,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Capernaum,2018,2h 6m,9,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Joker,2019,2h 2m,16,8.3,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
Singin' in the Rain,1952,1h 43m,AL,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
C'era una volta in America,1984,3h 49m,16,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Idi i smotri,1985,2h 22m,16,8.3,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Requiem for a Dream,2000,1h 42m,16,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,AL,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
Toy Story 3,2010,1h 43m,6,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
The Hunt,2012,1h 55m,12,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Ikiru,1952,2h 23m,12,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Eternal Sunshine of the Spotless Mind,2004,1h 48m,AL,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
Incendies,2010,2h 11m,16,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Het appartement,1960,2h 5m,6,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
Lawrence of Arabia,1962,3h 47m,12,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
2001: Een zwerftocht in de ruimte,1968,2h 29m,6,8.3,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
Reservoir Dogs,1992,1h 39m,16,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Scarface,1983,2h 50m,16,8.3,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
Heat,1995,2h 50m,12,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
Bloedgeld,1944,1h 47m,9,8.3,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
Up,2009,1h 36m,AL,8.3,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
North by Northwest,1959,2h 16m,AL,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Taare Zameen Par,2007,2h 42m,6,8.3,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
Full Metal Jacket,1987,1h 56m,16,8.2,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
M - Eine Stadt sucht einen Mörder,1931,1h 57m,12,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Citizen Kane,1941,1h 59m,6,8.2,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Le fabuleux destin d'Amélie Poulain,2001,2h 2m,12,8.3,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
Vertigo,1958,2h 8m,12,8.2,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
A Separation,2011,2h 3m,6,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Die Hard,1988,2h 12m,16,8.2,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California."
To Kill a Mockingbird,1962,2h 9m,6,8.3,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
The Sting,1973,2h 9m,12,8.2,Two grifters team up to pull off the ultimate con.
Indiana Jones and the Last Crusade,1989,2h 7m,12,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
A Clockwork Orange,1971,2h 16m,16,8.2,Alex DeLarge and his droogs barbarize a decaying near-future.
Metropolis,1927,2h 33m,AL,8.2,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Snatch,2000,1h 44m,16,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
1917,2019,1h 59m,12,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
L.A. Confidential,1997,2h 18m,12,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Der Untergang,2004,2h 36m,16,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Dangal,2016,2h 41m,9,8.3,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
Ladri di biciclette,1948,1h 29m,6,8.2,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Oppenheimer,2023,3h 0m,12,8.2,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
The Wolf of Wall Street,2013,3h 0m,16,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Truman Show,1998,1h 43m,12,8.2,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
Green Book,2018,2h 10m,12,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Batman Begins,2005,2h 20m,12,8.2,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
Shutter Island,2010,2h 18m,16,8.2,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
Oordeel te Neurenberg,1961,2h 59m,16,8.3,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
Hamilton,2020,2h 40m,12,8.3,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Taxi Driver,1976,1h 54m,16,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
For a Few Dollars More,1965,2h 12m,12,8.2,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
Some Like It Hot,1959,2h 1m,12,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Jurassic Park,1993,2h 7m,12,8.2,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
There Will Be Blood,2007,2h 38m,16,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Kid,1921,1h 8m,Passed,8.2,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
The Father,2020,1h 37m,9,8.2,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
All About Eve,1950,2h 18m,Approved,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
The Sixth Sense,1999,1h 47m,16,8.2,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret."
Ran,1985,2h 40m,16,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Casino,1995,2h 58m,16,8.2,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
No Country for Old Men,2007,2h 2m,16,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
The Thing,1982,1h 49m,16,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Top Gun: Maverick,2022,2h 10m,12,8.2,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
Prisoners,2013,2h 33m,16,8.2,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.
Pan's Labyrinth,2006,1h 58m,16,8.2,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks."
Unforgiven,1992,2h 10m,12,8.2,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid""."
Kill Bill,2003,1h 51m,16,8.2,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Hababam Sinifi: Sinifta Kaldi,1975,1h 35m,Unrated,8.5,"A group of students have failed their exams and must return for another year. Distracting them all is a new young female teacher, who they try out their usual tricks on."
A Beautiful Mind,2001,2h 15m,12,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
The Treasure of the Sierra Madre,1948,2h 6m,AL,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Howl's Moving Castle,2004,1h 59m,MG6,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Finding Nemo,2003,1h 40m,AL,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Yojimbo,1961,1h 50m,12,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
The Great Escape,1963,2h 52m,12,8.2,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.
Klaus,2019,1h 36m,6,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
The Elephant Man,1980,2h 4m,12,8.2,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication."
Monty Python and the Holy Grail,1975,1h 31m,12,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
The Best of Youth,2003,6h 14m,R,8.4,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.
Dial M for Murder,1954,1h 45m,PG,8.2,"A London playboy plots the perfect murder of his rich, unfaithful wife."
Gejaagd door de wind,1939,3h 58m,6,8.2,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
El secreto de sus ojos,2009,2h 9m,16,8.2,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later."
Chinatown,1974,2h 10m,16,8.1,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,16,8.1,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt."
Demon Slayer: Kimetsu No Yaiba the Movie: Infinity Castle,2025,2h 35m,R,8.5,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins."
V for Vendetta,2005,2h 12m,16,8.1,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
Binnenstebuiten,2015,1h 35m,AL,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school."
Rashomon,1950,1h 28m,12,8.1,Three parties and a witness have four versions of a rape/murder in ninth-century Japan.
Catch Me If You Can,2002,2h 21m,12,8.1,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,16,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Trainspotting,1996,1h 33m,16,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
The Bridge on the River Kwai,1957,2h 41m,12,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
